experiment,model,unified_id,scene,row_index,parse_status,invalid_reason
experiment1,Qwen3-VL-30B-A3B,scene1::365,scene1,365,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene1::463,scene1,463,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene1::709,scene1,709,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene2::94,scene2,94,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene2::100,scene2,100,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene2::117,scene2,117,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene2::154,scene2,154,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene2::243,scene2,243,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene2::248,scene2,248,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene2::281,scene2,281,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene2::395,scene2,395,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene2::431,scene2,431,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene2::490,scene2,490,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene2::531,scene2,531,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene2::710,scene2,710,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene2::798,scene2,798,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene3::140,scene3,140,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene3::367,scene3,367,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene3::653,scene3,653,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene3::657,scene3,657,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene3::746,scene3,746,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene4_room1::178,scene4_room1,178,partial_invalid_object_name,partial_invalid_object_name
experiment1,Qwen3-VL-30B-A3B,scene4_room2::73,scene4_room2,73,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene4_room2::155,scene4_room2,155,partial_invalid_object_name,partial_invalid_object_name
experiment1,Qwen3-VL-30B-A3B,scene4_room3::199,scene4_room3,199,partial_invalid_object_name,partial_invalid_object_name
experiment1,Qwen3-VL-30B-A3B,scene4_room4::168,scene4_room4,168,partial_invalid_object_name,partial_invalid_object_name
experiment1,Qwen3-VL-30B-A3B,scene5::13,scene5,13,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene5::55,scene5,55,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-30B-A3B,scene5::102,scene5,102,partial_invalid_object_name,partial_invalid_object_name
experiment1,Qwen3-VL-30B-A3B,scene5::296,scene5,296,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-8B,scene1::81,scene1,81,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::102,scene1,102,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::125,scene1,125,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::160,scene1,160,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-8B,scene1::170,scene1,170,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::180,scene1,180,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::200,scene1,200,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::262,scene1,262,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::302,scene1,302,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-8B,scene1::303,scene1,303,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::352,scene1,352,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::365,scene1,365,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::369,scene1,369,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::455,scene1,455,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::461,scene1,461,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::465,scene1,465,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-8B,scene1::467,scene1,467,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::499,scene1,499,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::511,scene1,511,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::520,scene1,520,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-8B,scene1::548,scene1,548,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::552,scene1,552,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::567,scene1,567,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::573,scene1,573,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::578,scene1,578,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::609,scene1,609,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::622,scene1,622,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::630,scene1,630,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::633,scene1,633,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::634,scene1,634,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::640,scene1,640,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::641,scene1,641,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::661,scene1,661,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::664,scene1,664,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::684,scene1,684,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::698,scene1,698,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::724,scene1,724,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::764,scene1,764,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::772,scene1,772,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene1::790,scene1,790,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene2::42,scene2,42,invalid_object_name,invalid_object_name
experiment1,Qwen3-VL-8B,scene2::53,scene2,53,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-8B,scene2::81,scene2,81,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-8B,scene2::85,scene2,85,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-8B,scene2::94,scene2,94,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-8B,scene2::167,scene2,167,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene2::198,scene2,198,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene2::230,scene2,230,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene2::231,scene2,231,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene2::235,scene2,235,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-8B,scene2::244,scene2,244,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-8B,scene2::320,scene2,320,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-8B,scene2::396,scene2,396,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-8B,scene2::409,scene2,409,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-8B,scene2::419,scene2,419,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-8B,scene2::466,scene2,466,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene2::500,scene2,500,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-8B,scene2::510,scene2,510,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-8B,scene2::543,scene2,543,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene2::550,scene2,550,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-8B,scene2::596,scene2,596,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene2::597,scene2,597,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-8B,scene2::659,scene2,659,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-8B,scene2::680,scene2,680,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-8B,scene2::741,scene2,741,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-8B,scene2::766,scene2,766,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-8B,scene2::780,scene2,780,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-8B,scene3::3,scene3,3,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene3::15,scene3,15,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene3::43,scene3,43,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene3::84,scene3,84,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene3::94,scene3,94,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene3::101,scene3,101,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene3::112,scene3,112,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene3::122,scene3,122,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene3::123,scene3,123,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene3::128,scene3,128,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene3::140,scene3,140,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene3::160,scene3,160,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-8B,scene3::169,scene3,169,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene3::186,scene3,186,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene3::204,scene3,204,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene3::208,scene3,208,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene3::230,scene3,230,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene3::268,scene3,268,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene3::271,scene3,271,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-8B,scene3::321,scene3,321,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene3::358,scene3,358,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene3::362,scene3,362,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene3::371,scene3,371,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene3::372,scene3,372,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene3::404,scene3,404,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene3::406,scene3,406,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene3::438,scene3,438,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene3::455,scene3,455,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene3::468,scene3,468,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-8B,scene3::529,scene3,529,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene3::532,scene3,532,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene3::545,scene3,545,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene3::553,scene3,553,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene3::585,scene3,585,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene3::594,scene3,594,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-8B,scene3::656,scene3,656,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene3::696,scene3,696,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene3::782,scene3,782,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene4_room1::37,scene4_room1,37,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene4_room1::45,scene4_room1,45,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene4_room2::81,scene4_room2,81,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-8B,scene4_room2::175,scene4_room2,175,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene4_room2::197,scene4_room2,197,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene4_room3::1,scene4_room3,1,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene4_room3::19,scene4_room3,19,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene4_room3::32,scene4_room3,32,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene4_room3::150,scene4_room3,150,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-8B,scene5::53,scene5,53,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-8B,scene5::66,scene5,66,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene5::100,scene5,100,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-8B,scene5::189,scene5,189,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-8B,scene5::259,scene5,259,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene5::328,scene5,328,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-8B,scene5::349,scene5,349,parsed_response_missing,parsed_response_missing
experiment1,Qwen3-VL-8B,scene5::358,scene5,358,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene5::436,scene5,436,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene5::438,scene5,438,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene5::514,scene5,514,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene5::569,scene5,569,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene5::669,scene5,669,incomplete,incomplete
experiment1,Qwen3-VL-8B,scene5::686,scene5,686,parsed_response_missing,parsed_response_missing
experiment1,InternVL3-38B,scene1::146,scene1,146,incomplete,incomplete
experiment1,InternVL3-38B,scene1::172,scene1,172,incomplete,incomplete
experiment1,InternVL3-38B,scene1::214,scene1,214,invalid_object_name,invalid_object_name
experiment1,InternVL3-38B,scene1::234,scene1,234,incomplete,incomplete
experiment1,InternVL3-38B,scene1::244,scene1,244,incomplete,incomplete
experiment1,InternVL3-38B,scene1::253,scene1,253,incomplete,incomplete
experiment1,InternVL3-38B,scene1::264,scene1,264,incomplete,incomplete
experiment1,InternVL3-38B,scene1::271,scene1,271,incomplete,incomplete
experiment1,InternVL3-38B,scene1::279,scene1,279,incomplete,incomplete
experiment1,InternVL3-38B,scene1::280,scene1,280,incomplete,incomplete
experiment1,InternVL3-38B,scene1::282,scene1,282,incomplete,incomplete
experiment1,InternVL3-38B,scene1::293,scene1,293,incomplete,incomplete
experiment1,InternVL3-38B,scene1::295,scene1,295,incomplete,incomplete
experiment1,InternVL3-38B,scene1::381,scene1,381,incomplete,incomplete
experiment1,InternVL3-38B,scene1::386,scene1,386,incomplete,incomplete
experiment1,InternVL3-38B,scene3::22,scene3,22,incomplete,incomplete
experiment1,InternVL3-38B,scene3::83,scene3,83,incomplete,incomplete
experiment1,InternVL3-38B,scene4_room1::45,scene4_room1,45,incomplete,incomplete
experiment2,Qwen3-VL-30B-A3B,scene4_room2::23,scene4_room2,23,parse_failure,parse_failure
experiment2,Qwen3-VL-30B-A3B,scene5::266,scene5,266,parse_failure,parse_failure
