experiment,model,partition,anchor_f1,anchor_fn,anchor_fp,anchor_precision,anchor_recall,anchor_tp,exact,fn,fp,hit_all,hit_mapped,invalid,joint100_f1,joint100_fn,joint100_fp,joint100_precision,joint100_recall,joint100_tp,joint150_f1,joint150_fn,joint150_fp,joint150_precision,joint150_recall,joint150_tp,joint200_f1,joint200_fn,joint200_fp,joint200_precision,joint200_recall,joint200_tp,joint50_f1,joint50_fn,joint50_fp,joint50_precision,joint50_recall,joint50_tp,macro_set_f1,mapped,margin_f1_0.5,margin_f1_1.0,margin_f1_2.0,margin_fn_0.5,margin_fn_1.0,margin_fn_2.0,margin_fp_0.5,margin_fp_1.0,margin_fp_2.0,margin_precision_0.5,margin_precision_1.0,margin_precision_2.0,margin_recall_0.5,margin_recall_1.0,margin_recall_2.0,margin_tp_0.5,margin_tp_1.0,margin_tp_2.0,mean_scene_normalized_error,micro_f1,micro_precision,micro_recall,missing,n,parse_failures,point100_f1,point100_fn,point100_fp,point100_precision,point100_recall,point100_tp,point150_f1,point150_fn,point150_fp,point150_precision,point150_recall,point150_tp,point200_f1,point200_fn,point200_fp,point200_precision,point200_recall,point200_tp,point50_f1,point50_fn,point50_fp,point50_precision,point50_recall,point50_tp,temporal_f1,temporal_fn,temporal_fp,temporal_precision,temporal_recall,temporal_tp,tp,unmapped,valid
experiment1,Qwen3-VL-30B-A3B,single,,,,,,,0.6264800861141012,295,508,0.682454251883746,0.682454251883746,4,,,,,,,,,,,,,,,,,,,,,,,,,0.6584601978573988,929,,,,,,,,,,,,,,,,,,,,0.6122646064703042,0.5551663747810858,0.682454251883746,,929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634,0,925
experiment1,Qwen3-VL-30B-A3B,multi,,,,,,,0.23868446760013026,3990,3023,0.8091826766525562,0.8091826766525562,26,,,,,,,,,,,,,,,,,,,,,,,,,0.5376367526969946,3071,,,,,,,,,,,,,,,,,,,,0.5298022125377138,0.5665328362489246,0.49754438987533056,,3071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3951,0,3045
experiment1,Qwen3-VL-8B,single,,,,,,,0.6329386437029063,325,346,0.6501614639397201,0.6501614639397201,32,,,,,,,,,,,,,,,,,,,,,,,,,0.644420523860782,929,,,,,,,,,,,,,,,,,,,,0.6428951569984034,0.6357894736842106,0.6501614639397201,,929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,604,0,897
experiment1,Qwen3-VL-8B,multi,,,,,,,0.11820253988928688,5044,2249,0.6802344513187887,0.6802344513187887,96,,,,,,,,,,,,,,,,,,,,,,,,,0.43082722841759163,3071,,,,,,,,,,,,,,,,,,,,0.44272942614808586,0.5629615235134084,0.3648155144188389,,3071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2897,0,2975
experiment1,InternVL3-38B,single,,,,,,,0.6264800861141012,323,491,0.6523143164693218,0.6523143164693218,5,,,,,,,,,,,,,,,,,,,,,,,,,0.6407257256557579,929,,,,,,,,,,,,,,,,,,,,0.5982230997038499,0.5524156791248861,0.6523143164693218,,929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606,0,924
experiment1,InternVL3-38B,multi,,,,,,,0.14816020840117225,4574,2905,0.742429176164116,0.742429176164116,13,,,,,,,,,,,,,,,,,,,,,,,,,0.47108268011882654,3071,,,,,,,,,,,,,,,,,,,,0.4737915992401323,0.5368303571428571,0.4240020148595895,,3071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3367,0,3058
experiment2,Qwen3-VL-30B-A3B,single,,,,,,,,,,,,0,0.2713286713286714,721,842,0.25684024713150927,0.2875494071146245,291,0.31888111888111886,670,791,0.30185348631950576,0.33794466403162055,342,0.35897435897435903,627,748,0.33980582524271846,0.3804347826086957,385,0.12214452214452215,881,1002,0.11562224183583407,0.12944664031620554,131,,,,,,,,,,,,,,,,,,,,,,,,,0,1012,0,0.36083916083916084,625,746,0.3415710503089144,0.3824110671936759,387,0.44102564102564107,539,660,0.4174757281553398,0.4673913043478261,473,0.4951048951048951,481,602,0.46866725507502205,0.5247035573122529,531,0.15757575757575756,843,964,0.14916151809355693,0.16699604743083005,169,0.6284382284382284,338,459,0.5948808473080318,0.66600790513834,674,,,1012
experiment2,Qwen3-VL-30B-A3B,multi,,,,,,,,,,,,2,0.19749153892096358,6019,6074,0.19677334038614122,0.19821499933395498,1488,0.2929192381710797,5300,5355,0.2918540068764877,0.29399227387771415,2207,0.36857123896741656,4730,4785,0.36723089129859826,0.36992140668709206,2777,0.07618289202999536,6933,6988,0.07590584501454642,0.07646196882909284,574,,,,,,,,,,,,,,,,,,,,,,,,,0,2988,2,0.2338575884265711,5745,5800,0.23300714096799788,0.23471426668442788,1762,0.34587563872851557,4901,4956,0.3446178259719651,0.3471426668442787,2606,0.43201274138960777,4252,4307,0.4304416820946839,0.4335953110430265,3255,0.0895878956798726,6832,6887,0.08926209997355197,0.0899160783268949,675,0.7498838675426371,1857,1912,0.7471568368156573,0.7526308778473425,5650,,,2986
experiment2,Qwen3-VL-8B,single,,,,,,,,,,,,0,0.2438113031293788,751,868,0.23117803365810452,0.25790513833992096,261,0.31480616534329753,675,792,0.29849424269264835,0.33300395256917,337,0.3465670247547875,641,758,0.32860938883968116,0.366600790513834,371,0.09341429238673517,912,1029,0.08857395925597875,0.09881422924901186,100,,,,,,,,,,,,,,,,,,,,,,,,,0,1012,0,0.29705744978981785,694,811,0.2816651904340124,0.3142292490118577,318,0.3886034563288183,596,713,0.36846767050487156,0.41106719367588934,416,0.43624474544605324,545,662,0.4136403897254207,0.4614624505928854,467,0.11863615133115368,885,1002,0.112488928255093,0.12549407114624506,127,0.6118636151331154,357,474,0.5801594331266607,0.6472332015810277,655,,,1012
experiment2,Qwen3-VL-8B,multi,,,,,,,,,,,,0,0.19513179128563743,6056,5914,0.19701289884589274,0.19328626615159183,1451,0.2955890263582572,5309,5167,0.298438560760353,0.29279339283335554,2198,0.36982248520710065,4757,4615,0.37338764426340804,0.3663247635540163,2750,0.07719203873050026,6933,6791,0.07793618465716226,0.07646196882909284,574,,,,,,,,,,,,,,,,,,,,,,,,,0,2988,0,0.22606239913932222,5826,5684,0.22824168363883232,0.22392433728520048,1681,0.3374125874125874,4998,4856,0.3406653088934148,0.33422139336619155,2509,0.42159763313609466,4372,4230,0.4256619144602851,0.4176102304515785,3135,0.08969876277568585,6840,6698,0.09056347589952478,0.08885040628746503,667,0.7654653039268424,1815,1673,0.7728445349626613,0.7582256560543493,5692,,,2988
experiment2,InternVL3-38B,single,,,,,,,,,,,,0,0.14438751746623196,857,980,0.13656387665198239,0.15316205533596838,155,0.2496506753609688,744,867,0.23612334801762114,0.2648221343873518,268,0.3511877037727061,635,758,0.33215859030837,0.3725296442687747,377,0.04191895668374476,967,1090,0.039647577092511016,0.044466403162055336,45,,,,,,,,,,,,,,,,,,,,,,,,,0,1012,0,0.17233348858872846,827,950,0.16299559471365638,0.18280632411067194,185,0.3167210060549604,672,795,0.29955947136563876,0.3359683794466403,340,0.45365626455519337,525,648,0.4290748898678414,0.48122529644268774,487,0.04843968327899394,960,1083,0.04581497797356828,0.05138339920948617,52,0.6828132277596646,279,402,0.6458149779735682,0.724308300395257,733,,,1012
experiment2,InternVL3-38B,multi,,,,,,,,,,,,0,0.0910057127673708,6822,6862,0.09076454220219955,0.09124816837618223,685,0.17297728178557192,6205,6245,0.17251888167483767,0.1734381244172106,1302,0.258535937292414,5561,5601,0.257850801643037,0.25922472359131477,1946,0.026571011026969578,7307,7347,0.026500596263415926,0.026641800985746637,200,,,,,,,,,,,,,,,,,,,,,,,,,0,2988,0,0.11571675302245252,6636,6676,0.11541009672717636,0.11602504329292661,871,0.214826624153049,5890,5930,0.21425732078971776,0.21539896096976155,1617,0.31539790089012887,5133,5173,0.31456207764674704,0.3162381777008126,2374,0.034542314335060456,7247,7287,0.03445077514244071,0.03463434128147063,260,0.7401355121562375,1936,1976,0.7381741089174506,0.7421073664579726,5571,,,2988
experiment3,Qwen3-VL-30B-A3B,single,0.4361111111111111,302,1322,0.32205128205128203,0.6752688172043011,628,0.002150537634408602,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10183299389002036,0.2240325865580448,0.365434972359616,753,543,300,2334,2124,1881,0.06974890394579514,0.15344758868074931,0.2502989238740534,0.18857758620689655,0.41487068965517243,0.6767241379310345,175,385,628,0.09131280456077387,,,,,930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930
experiment3,Qwen3-VL-30B-A3B,multi,0.4319546144204763,4666,3945,0.45352541903310706,0.4123425692695214,3274,0.023452768729641693,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11584619152583885,0.25581680137154056,0.42003428851334806,6956,5813,4472,7484,6341,5000,0.11221826809015421,0.24780545670225385,0.4068801897983393,0.11971652746140218,0.26436345229055935,0.434067324727917,946,2089,3430,0.16548158118887094,,,,,3070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3070
experiment3,Qwen3-VL-8B,single,0.416697451052826,366,1213,0.317388857625211,0.6064516129032258,564,0.025806451612903226,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10018552875695734,0.21459492888064316,0.34632034632034636,766,581,368,2144,1959,1746,0.07025151777970512,0.15047701647875109,0.24284475281873374,0.17456896551724138,0.3739224137931034,0.603448275862069,162,347,560,0.1147607057080874,,,,,930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930
experiment3,Qwen3-VL-8B,multi,0.42219525350593307,4809,3761,0.4542948345908299,0.3943324937027708,3131,0.021498371335504887,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1146433041301627,0.24993742177722147,0.4113892365456821,6986,5905,4615,7162,6081,4791,0.11339440455558307,0.24721465709333992,0.40690765040851695,0.11592002024803848,0.2527208301695773,0.41597064034421666,916,1997,3287,0.16052456851125776,,,,,3070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3070
experiment3,InternVL3-38B,single,0.46669233731228343,324,1061,0.3635272945410918,0.6516129032258065,606,0.001075268817204301,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11375089992800577,0.26205903527717783,0.43988480921526285,770,564,317,1692,1486,1239,0.08540540540540541,0.19675675675675675,0.3302702702702703,0.17025862068965517,0.3922413793103448,0.6584051724137931,158,364,611,0.09450013532533343,,,,,930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,930
experiment3,InternVL3-38B,multi,0.37903699354081033,5358,3102,0.45425756509500353,0.3251889168765743,2582,0.06221498371335505,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09797200799771494,0.2247929163096258,0.3811768066266781,7216,6328,5233,5416,4528,3433,0.11242215666994428,0.2579482137004261,0.43739757456571615,0.0868134649455834,0.19919007846114908,0.3377625917489243,686,1574,2669,0.17168164087118723,,,,,3070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3070
